CompanyCode,DocumentNumber,Transaction_ID,PostingDate,DocumentType,GLAccount,VendorID,CostCenter,Department,Amount,Currency,Description,Status,ConversionRate_USD,Amount_USD,Outlier_Detected
PH01,5100021348,PM121348A,04-05-2023,KR,150100,VND_PROC_C,CC_SAL_144,Procurement,884826.64,GBP,CapEx - MRI equipment ref 31290,Posted,1.25,1106033.3,TRUE
PH01,5100055277,JV155277,02-03-2020,SA,150100,VND_GEN_5,CC_SAL_509,IT,672621.87,GBP,CapEx - Servers ref 97896,Posted,1.25,840777.3375,TRUE
PH01,5100056810,TXN156810,27-09-2023,KR,150300,VND_GEN_3,CC_IT_198,IT,710258.72,EUR,CapEx - Servers ref 16830,Posted,1.1,781284.5920000001,TRUE
US02,5100067510,PM167510X,29-05-2021,RV,150200,VND_GEN_5,CC_FIN_948,IT,666751.74,USD,CapEx - Vehicle ref 11083,Posted,1,666751.74,TRUE
PH01,5100059164,JV159164X,23-09-2021,KR,150300,VND_PROC_B,CC_OPS_836,Procurement,595870.16,EUR,CapEx - Vehicle ref 33078,Posted,1.1,655457.1760000001,TRUE
IN03,5100036392,PM136392,05-08-2022,SA,150100,VND_GEN_3,CC_PRC_585,IT,51983445.01,INR,CapEx - MRI equipment ref 84956,Pending,0.0125,649793.0626,TRUE
PH01,5100004171,PM104171,26-08-2020,KR,150200,VND_GEN_1,CC_PRC_273,Operations,515680.6,GBP,CapEx - Lab gear ref 83907,Posted,1.25,644600.75,TRUE
US02,5100004182,PM104182,08-07-2022,RV,150200,VND_GEN_2,CC_PRC_810,IT,612765.36,USD,CapEx - Lab gear ref 61202,Posted,1,612765.36,TRUE
IN03,5100020871,TR120871B,06-06-2019,SA,150300,VND_PROC_B,CC_OPS_223,Procurement,46520096.71,INR,CapEx - Lab gear ref 86985,Posted,0.0125,581501.2089,TRUE
PH01,5100004333,JV104333A,28-03-2020,RV,150100,VND_PROC_C,CC_PRC_384,Procurement,526988.03,EUR, CapEx - MRI equipment ref 75014,Posted,1.1,579686.8330000001,TRUE
US02,5100064815,TXN164815A,23-03-2023,KR,150200,VND_PROC_A,CC_PRC_934,Procurement,577795.62,USD,CapEx - Servers ref 83301,Posted,1,577795.62,TRUE
PH01,5100059392,TR159392,19-01-2022,SA,150300,VND_PROC_A,CC_OPS_509,Procurement,486914.76,EUR,CapEx - MRI equipment ref 96310,Posted,1.1,535606.236,TRUE
IN03,5100002172,PJ102172,26-08-2020,KR,150100,VND_PROC_B,CC_SAL_154,Procurement,40147987.2,INR,CapEx - Vehicle ref 73466,Posted,0.0125,501849.8400000001,TRUE
US02,5100014018,PM114018A,28-06-2019,SA,150200,VND_GEN_4,CC_PRC_242,IT,499781.73,USD,CapEx - MRI equipment ref 63155,Posted,1,499781.73,TRUE
PH01,5100002649,TXN102649,11-06-2021,KR,150100,VND_GEN_2,CC_SAL_851,Operations,371395.25,GBP,CapEx - Servers ref 90771,Posted,1.25,464244.0625,TRUE
